appointment_type,employee_id,item_no,first_name,middle_name,last_name,extension_name,gender,birthday,age,location,position,rate_per_day,employment_start,employment_end,source_of_fund,office_assignment
Contractual,,ITM-1000,Terry,Daniel,Kaiser,Jr.,Female,15/04/1996,29,Underwoodview,Tree surgeon,1964.63,24/01/2023,30/07/2026,20% Development Fund,OFFICE OF THE MUNICIPAL ASSESSOR
Casual,,ITM-1001,Christopher,Joseph,Haney,Sr.,Male,11/07/1985,40,Williamshaven,Community pharmacist,1178.26,18/10/2022,02/11/2022,SEF,OFFICE OF THE MUNICIPAL ASSESSOR
Coterminous,,ITM-1002,Andrew,Brenda,Holder,,Male,03/01/1986,39,West Eric,English as a second language teacher,1097.02,01/10/2024,06/12/2026,Others,OFFICE OF THE MUNICIPAL HEALTH OFFICER
Contractual,,ITM-1003,Jeffrey,Matthew,Williams,,Female,14/09/1997,28,Parsonsland,"Exhibitions officer, museum/gallery",1862.85,17/12/2020,24/10/2026,Others,OFFICE OF THE SANGUNIANG BAYAN
Coterminous,,ITM-1004,Ashley,Christopher,Harris,,Male,16/02/1965,60,Myerston,Hydrogeologist,1438.47,23/09/2022,16/07/2026,SEF,OFFICE OF THE SANGUNIANG BAYAN
Elected,,ITM-1005,Jesus,Corey,Brock,Jr.,Female,15/12/1977,48,North Ericaside,Armed forces technical officer,816.25,18/03/2021,26/08/2021,20% Development Fund,GENERAL SERVICES OFFICE
Contractual,,ITM-1006,Samuel,Misty,Hughes,,Female,26/01/1974,51,West Brittany,Horticultural therapist,1946,07/06/2022,02/09/2022,Others,SOCIAL WELFARE & DEVELOPMENT OFFICER
Substitute,,ITM-1007,Christopher,Robert,Harper,Sr.,Female,29/09/2002,23,Elizabethshire,Conference centre manager,310.15,05/10/2022,07/08/2025,20% Development Fund,MUNICIPAL ENVIRONMENT AND NATURAL RESOURCES OFFICE
Regular Permanent,,ITM-1008,Caroline,Cynthia,Graham,III,Female,16/04/1993,32,West Cynthiaborough,Network engineer,654.25,29/05/2023,08/02/2024,SEF,OFFICE OF THE MAYOR
Temporary,,ITM-1009,Jessica,Heather,Jones,Jr.,Male,04/08/1980,45,East David,Paediatric nurse,555.98,05/07/2024,05/03/2025,Others,OFFICE OF THE MUNICIPAL BUDGET OFFICER
Provisional,,ITM-1010,John,Danny,Winters,,Male,08/03/1985,40,Walshport,Actor,857.09,17/06/2020,13/08/2021,20% Development Fund,OFFICE OF THE MAYOR
Provisional,,ITM-1011,Michael,Donna,Thompson,Sr.,Female,26/06/1964,61,North Donaldburgh,"Designer, textile",1256.63,10/11/2020,06/12/2020,SEF,OFFICE OF THE LOCAL REGISTRAR
Temporary,,ITM-1012,Nicole,Jennifer,Lang,III,Male,25/01/2004,21,New Amandaton,"Horticulturist, commercial",703.1,22/12/2021,09/01/2022,20% Development Fund,ERGONOMIC ENTERPRISE DEVELOPMENT MANAGEMENT
Provisional,,ITM-1013,Emily,Donna,Brooks,,Female,03/11/2001,24,New Christophershire,Health service manager,1516.34,14/04/2024,12/11/2026,General Fund,OFFICE OF THE MAYOR
Coterminous - Temporary,,ITM-1014,Elizabeth,Martha,Hughes,Jr.,Male,18/10/2003,22,Torreshaven,Writer,372.04,23/06/2023,10/05/2024,SEF,GENERAL SERVICES OFFICE
Coterminous,,ITM-1015,Jason,Ashley,Middleton,,Female,20/12/1977,48,Bettyfurt,Maintenance engineer,953.28,12/11/2023,23/03/2024,SEF,LOCAL DISASTER RISK REDUCTION & MANAGEMENT
